Episodio,Passos,Recompensa,Sucesso
860,26,17.5,1
861,20,18.1,1
862,18,18.3,1
863,18,18.3,1
864,18,18.3,1
865,24,17.7,1
866,22,17.9,1
867,22,17.9,1
868,20,18.1,1
869,19,17.8,1
870,23,17.4,1
871,22,17.9,1
872,19,17.8,1
873,20,18.1,1
874,18,18.3,1
875,20,18.1,1
876,20,18.1,1
877,19,17.8,1
878,20,18.1,1
879,22,17.9,1
880,20,18.1,1
881,22,17.9,1
882,18,18.3,1
883,25,17.2,1
884,19,17.8,1
885,20,18.1,1
886,23,17.4,1
887,18,18.3,1
888,18,18.3,1
889,23,17.4,1
890,19,17.8,1
891,23,17.4,1
892,20,18.1,1
893,22,17.9,1
894,18,18.3,1
895,22,17.9,1
896,21,17.6,1
897,18,18.3,1
898,20,18.1,1
899,19,17.8,1
900,20,17.3,1
901,20,17.3,1
902,19,17.8,1
903,22,17.9,1
904,18,18.3,1
905,22,17.9,1
906,21,17.6,1
907,18,18.3,1
908,18,18.3,1
909,22,17.9,1
910,20,18.1,1
911,22,17.9,1
912,20,18.1,1
913,26,17.5,1
914,18,18.3,1
915,20,18.1,1
916,19,17.8,1
917,20,18.1,1
918,24,16.9,1
919,18,18.3,1
920,22,17.1,1
921,21,17.6,1
922,21,17.6,1
923,24,16.1,1
924,20,18.1,1
925,20,18.1,1
926,18,18.3,1
927,22,17.9,1
928,25,17.2,1
929,19,17.8,1
930,18,18.3,1
931,20,18.1,1
932,18,18.3,1
933,24,17.7,1
934,18,18.3,1
935,24,16.9,1
936,23,17.4,1
937,26,17.5,1
938,20,18.1,1
939,19,17.8,1
940,18,18.3,1
941,20,18.1,1
942,18,18.3,1
943,22,17.9,1
944,18,18.3,1
945,18,18.3,1
946,19,17.8,1
947,18,18.3,1
948,18,18.3,1
949,20,18.1,1
950,18,18.3,1
951,22,17.9,1
952,18,18.3,1
953,19,17.8,1
954,18,18.3,1
955,22,17.9,1
956,21,17.6,1
957,19,17.8,1
958,22,17.9,1
959,22,17.9,1
960,19,17.8,1
961,23,17.4,1
962,20,17.3,1
963,23,17.4,1
964,20,17.3,1
965,23,17.4,1
966,22,17.9,1
967,20,18.1,1
968,22,17.9,1
969,18,18.3,1
970,18,18.3,1
971,21,17.6,1
972,20,18.1,1
973,18,18.3,1
974,23,17.4,1
975,23,17.4,1
976,23,17.4,1
977,19,17.8,1
978,20,18.1,1
979,18,18.3,1
980,20,18.1,1
981,18,18.3,1
982,21,17.6,1
983,19,17.8,1
984,18,18.3,1
985,20,18.1,1
986,20,18.1,1
987,19,17.8,1
988,18,18.3,1
989,21,17.6,1
990,19,17.8,1
991,18,18.3,1
992,22,17.9,1
993,18,18.3,1
994,20,18.1,1
995,18,18.3,1
996,20,17.3,1
997,20,18.1,1
998,23,17.4,1
999,24,17.7,1
1000,18,18.3,1
