Episodio,Passos,Recompensa,Sucesso
783,18,8.3,1
784,20,8.1,1
785,20,8.1,1
786,18,8.3,1
787,18,8.3,1
788,21,8.0,1
789,20,8.1,1
790,18,8.3,1
791,20,8.1,1
792,24,7.7,1
793,20,8.1,1
794,21,8.0,1
795,19,8.2,1
796,20,8.1,1
797,20,8.1,1
798,22,7.9,1
799,19,8.2,1
800,20,8.1,1
801,18,8.3,1
802,20,8.1,1
803,18,8.3,1
804,18,8.3,1
805,18,8.3,1
806,20,8.1,1
807,18,8.3,1
808,24,7.7,1
809,28,7.3,1
810,18,8.3,1
811,22,7.9,1
812,24,7.7,1
813,20,8.1,1
814,24,7.7,1
815,18,8.3,1
816,20,8.1,1
817,24,7.7,1
818,22,7.9,1
819,24,7.7,1
820,21,8.0,1
821,22,7.9,1
822,18,8.3,1
823,20,8.1,1
824,18,8.3,1
825,18,8.3,1
826,20,8.1,1
827,20,8.1,1
828,18,8.3,1
829,20,8.1,1
830,20,8.1,1
831,20,8.1,1
832,18,8.3,1
833,20,8.1,1
834,20,8.1,1
835,23,7.8,1
836,18,8.3,1
837,21,8.0,1
838,22,7.9,1
839,18,8.3,1
840,18,8.3,1
841,24,7.7,1
842,21,8.0,1
843,18,8.3,1
844,26,7.5,1
845,20,8.1,1
846,20,8.1,1
847,20,8.1,1
848,20,8.1,1
849,23,7.8,1
850,18,8.3,1
851,20,8.1,1
852,21,8.0,1
853,22,7.9,1
854,24,7.7,1
855,22,7.9,1
856,22,7.9,1
857,18,8.3,1
858,22,7.9,1
859,18,8.3,1
860,18,8.3,1
861,18,8.3,1
862,20,8.1,1
863,18,8.3,1
864,20,8.1,1
865,19,8.2,1
866,22,7.9,1
867,18,8.3,1
868,20,8.1,1
869,18,8.3,1
870,20,8.1,1
871,20,8.1,1
872,18,8.3,1
873,20,8.1,1
874,18,8.3,1
875,20,8.1,1
876,18,8.3,1
877,20,8.1,1
878,18,8.3,1
879,20,8.1,1
880,21,8.0,1
881,20,8.1,1
882,18,8.3,1
883,18,8.3,1
884,23,7.8,1
885,22,7.9,1
886,20,8.1,1
887,18,8.3,1
888,22,7.9,1
889,18,8.3,1
890,18,8.3,1
891,22,7.9,1
892,20,8.1,1
893,23,7.8,1
894,35,6.6,1
895,22,7.9,1
896,22,7.9,1
897,18,8.3,1
898,20,8.1,1
899,20,8.1,1
900,23,7.8,1
901,20,8.1,1
902,18,8.3,1
903,21,8.0,1
904,18,8.3,1
905,20,8.1,1
906,20,8.1,1
907,24,7.7,1
908,23,7.8,1
909,18,8.3,1
910,20,8.1,1
911,26,7.5,1
912,20,8.1,1
913,24,7.7,1
914,21,8.0,1
915,18,8.3,1
916,24,7.7,1
917,24,7.7,1
918,22,7.9,1
919,20,8.1,1
920,18,8.3,1
921,18,8.3,1
922,24,7.7,1
923,18,8.3,1
924,18,8.3,1
925,18,8.3,1
926,22,7.9,1
927,18,8.3,1
928,22,7.9,1
929,20,8.1,1
930,20,8.1,1
931,18,8.3,1
932,22,7.9,1
933,18,8.3,1
934,26,7.5,1
935,20,8.1,1
936,18,8.3,1
937,22,7.9,1
938,20,8.1,1
939,25,7.6,1
940,24,7.7,1
941,18,8.3,1
942,18,8.3,1
943,18,8.3,1
944,18,8.3,1
945,20,8.1,1
946,19,8.2,1
947,25,7.6,1
948,20,8.1,1
949,18,8.3,1
950,18,8.3,1
951,22,7.9,1
952,18,8.3,1
953,22,7.9,1
954,18,8.3,1
955,22,7.9,1
956,19,8.2,1
957,18,8.3,1
958,18,8.3,1
959,18,8.3,1
960,18,8.3,1
961,19,8.2,1
962,18,8.3,1
963,18,8.3,1
964,25,7.6,1
965,18,8.3,1
966,18,8.3,1
967,20,8.1,1
968,20,8.1,1
969,20,8.1,1
970,18,8.3,1
971,20,8.1,1
972,20,8.1,1
973,21,8.0,1
974,24,7.7,1
975,18,8.3,1
976,20,8.1,1
977,20,8.1,1
978,19,8.2,1
979,24,7.7,1
980,18,8.3,1
981,20,8.1,1
982,20,8.1,1
983,20,8.1,1
984,21,8.0,1
985,24,7.7,1
986,19,8.2,1
987,18,8.3,1
988,24,7.7,1
989,18,8.3,1
990,24,7.7,1
991,18,8.3,1
992,22,7.9,1
993,24,7.7,1
994,22,7.9,1
995,23,7.8,1
996,20,8.1,1
997,18,8.3,1
998,21,8.0,1
999,24,7.7,1
1000,24,7.7,1
